Date,Revenue,Expenses,Tax Income,Debt,GDP Contribution,Currency
11-05-2024,$194.40,145.47 MXN,33.68 pesos,923.57 MEX$,1.77%,mex
2024/05/12,$56.76,118.72 MXN,34.29 pesos,542.37 MEX$,3.14%,pesoss
13-05-2024,$154.86,95.91 MXN,58.45 pesos,740.71 MEX$,1.75%,Pesos
14-05-2024,$101.45,89.69 MXN,30.64 pesos,884.38 MEX$,1.95%,mxn
15-05-2024,$148.73,38.26 MXN,35.94 pesos,902.71 MEX$,1.74%,MXN
2024/05/16,$131.12,118.4 MXN,18.03 pesos,523.16 MEX$,2.5%,mxn
17-05-2024,$155.78,110.78 MXN,24.57 pesos,527.97 MEX$,2.59%,mxn
18-05-2024,$192.18,109.49 MXN,62.24 pesos,563.22 MEX$,3.19%,MEX$
2024/05/19,$57.86,96.21 MXN,21.78 pesos,684.10 MEX$,2.84%,mex
20-05-2024,$190.50,43.74 MXN,20.66 pesos,685.23 MEX$,1.53%,mxn
2024/05/21,$81.41,138.77 MXN,13.64 pesos,872.51 MEX$,2.39%,pesoss
22-05-2024,$151.96,147.29 MXN,54.45 pesos,932.94 MEX$,1.95%,pesoss
23-05-2024,$122.15,124.89 MXN,60.53 pesos,551.30 MEX$,2.87%,pesoss
24-05-2024,$140.41,37.34 MXN,76.53 pesos,779.33 MEX$,1.86%,MXN
2024/05/25,$190.57,141.0 MXN,20.83 pesos,593.89 MEX$,1.7%,Pesos
26-05-2024,$187.51,145.99 MXN,60.04 pesos,828.31 MEX$,1.75%,mxn
2024/05/27,$74.64,54.67 MXN,21.4 pesos,609.74 MEX$,2.34%,mex
28-05-2024,$158.10,32.26 MXN,48.53 pesos,585.08 MEX$,2.2%,MXN
29-05-2024,$174.39,37.87 MXN,39.7 pesos,736.74 MEX$,3.15%,MXN
2024/05/30,$90.94,80.68 MXN,60.7 pesos,750.07 MEX$,2.84%,MEX$
31-05-2024,$166.92,97.14 MXN,46.59 pesos,801.11 MEX$,2.41%,mxn
2024/06/01,$130.98,57.04 MXN,25.33 pesos,928.34 MEX$,1.99%,pesoss
02-06-2024,$100.54,115.72 MXN,64.05 pesos,575.65 MEX$,2.04%,mxn
03-06-2024,$146.30,66.96 MXN,45.66 pesos,817.18 MEX$,2.24%,mxn
2024/06/04,$164.54,140.97 MXN,31.5 pesos,611.82 MEX$,3.63%,pesoss
05-06-2024,$117.51,92.99 MXN,59.63 pesos,708.92 MEX$,3.41%,mxn
06-06-2024,$51.31,114.64 MXN,77.59 pesos,814.10 MEX$,1.74%,Pesos
07-06-2024,$55.62,135.52 MXN,21.18 pesos,538.22 MEX$,3.24%,MEX$
08-06-2024,$187.71,70.97 MXN,48.02 pesos,573.77 MEX$,2.72%,pesoss
09-06-2024,$165.09,85.56 MXN,38.37 pesos,728.04 MEX$,1.92%,mxn
10-06-2024,$67.99,91.29 MXN,65.11 pesos,827.90 MEX$,2.12%,MEX$
2024/06/11,$105.04,98.38 MXN,31.67 pesos,918.39 MEX$,3.66%,mxn
12-06-2024,$127.06,124.41 MXN,33.85 pesos,601.87 MEX$,1.81%,Pesos
13-06-2024,$89.93,42.54 MXN,61.08 pesos,649.18 MEX$,3.7%,Pesos
14-06-2024,$135.03,44.24 MXN,27.57 pesos,553.10 MEX$,3.2%,pesoss
2024/06/15,$144.80,79.95 MXN,77.81 pesos,601.08 MEX$,3.07%,Pesos
16-06-2024,$148.16,135.55 MXN,79.76 pesos,984.43 MEX$,2.68%,mxn
2024/06/17,$54.53,77.54 MXN,79.2 pesos,832.98 MEX$,3.15%,pesoss
2024/06/18,$173.33,128.26 MXN,77.38 pesos,821.21 MEX$,1.68%,Pesos
2024/06/19,$129.79,148.15 MXN,43.71 pesos,587.86 MEX$,2.92%,MXN
20-06-2024,$193.08,74.97 MXN,46.21 pesos,648.37 MEX$,1.52%,Pesos
21-06-2024,$83.60,39.46 MXN,22.69 pesos,974.58 MEX$,1.63%,mex
2024/06/22,$86.07,51.74 MXN,34.97 pesos,994.59 MEX$,2.43%,MEX$
2024/06/23,$170.57,89.99 MXN,59.31 pesos,910.65 MEX$,3.44%,mxn
24-06-2024,$59.80,110.98 MXN,31.42 pesos,874.24 MEX$,3.3%,Pesos
25-06-2024,$76.12,54.57 MXN,23.86 pesos,699.15 MEX$,2.79%,MEX$
26-06-2024,$130.62,140.44 MXN,19.33 pesos,604.24 MEX$,2.87%,mxn
27-06-2024,$108.51,63.37 MXN,29.87 pesos,689.97 MEX$,2.89%,mex
28-06-2024,$165.75,39.73 MXN,14.55 pesos,603.11 MEX$,3.09%,mxn
29-06-2024,$124.22,110.61 MXN,41.01 pesos,943.81 MEX$,3.28%,mex
2024/06/30,$108.30,91.8 MXN,18.81 pesos,913.01 MEX$,2.5%,MEX$
